year,month,day,hour,lat,depth,lon
2017,10,7,0,-47.3070770085901,0,67.76783620456908
2017,10,7,0,-47.307355674813536,1,67.76795547183858
2017,10,7,0,-47.30697117745915,2,67.76786411732215
2017,10,7,0,-47.30701090132435,3,67.76750290354394
2017,10,7,0,-47.301594775465,4,67.74888762955736
2017,10,7,0,-47.30139870368407,5,67.74848914590704
2017,10,7,0,-47.30126520477318,6,67.74857147907342
2017,10,7,1,-47.29755507374456,7,67.7297243045915
2017,10,7,1,-47.29760987587101,8,67.72993289063182
2017,10,7,1,-47.29757868959594,9,67.7295122228308
2017,10,7,1,-47.297510763028896,10,67.72930889218243
2017,10,7,1,-47.29283342776318,11,67.71078792770783
2017,10,7,1,-47.29281901658626,12,67.71070364318278
2017,10,7,1,-47.29296082754641,13,67.71048739609478
2017,10,7,1,-47.29298974922805,14,67.71025718465629
2017,10,7,1,-47.288944152743646,15,67.6893357731001
2017,10,7,1,-47.28889858756789,16,67.68907357376743
2017,10,7,1,-47.28913891091146,17,67.68916047743929
2017,10,7,1,-47.28941933906762,18,67.68881232694339
2017,10,7,2,-47.28589489039789,19,67.66577656242086
2017,10,7,2,-47.2853464971793,20,67.66717164366659
2017,10,7,2,-47.28619929396843,21,67.6673543069585
2017,10,7,2,-47.28322272601844,22,67.64897325255151
2017,10,7,2,-47.28319719831835,23,67.64847214863669
2017,10,7,2,-47.28528427659683,24,67.64975991525363
2017,10,7,2,-47.28241073999862,25,67.64870008223231
2017,10,7,3,-47.27692371521946,26,67.62892052831997
2017,10,7,3,-47.27674241965389,27,67.62867904089481
2017,10,7,3,-47.27678976824502,28,67.62891651719049
2017,10,7,3,-47.27666554637947,29,67.62888007965046
2017,10,7,3,-47.27255315425334,30,67.60817843429278
2017,10,7,3,-47.27226581247138,31,67.60840349128583
2017,10,7,3,-47.272334487550424,32,67.60800960134465
2017,10,7,3,-47.272081064032704,33,67.6085747546254
2017,10,7,4,-47.26011366162311,34,67.571912665052
2017,10,7,4,-47.26025977466901,35,67.57194046668711
2017,10,7,4,-47.26039109016647,36,67.57228364785273
2017,10,7,4,-47.26000015003073,37,67.57228892065156
2017,10,7,4,-47.25572633633975,38,67.55596298285673
2017,10,7,4,-47.2559756784861,39,67.55597283565547
2017,10,7,4,-47.25593002264106,40,67.5565099857868
2017,10,7,4,-47.255357934424865,41,67.55622671094807
2017,10,7,5,-47.251240292109394,42,67.54256999807427
2017,10,7,5,-47.25117969458115,43,67.54255611479886
2017,10,7,5,-47.25091461917862,44,67.54256217855958
2017,10,7,5,-47.25115937916774,45,67.54278853273165
2017,10,7,5,-47.24790492232368,46,67.52899945659051
2017,10,7,5,-47.24734249803663,47,67.5288982830479
2017,10,7,5,-47.247277252084075,48,67.52932882905316
2017,10,7,5,-47.241294984905174,49,67.51694931532201
2017,10,7,5,-47.24084278017532,50,67.51731041478507
2017,10,7,6,-47.23492156885879,51,67.5063989801109
2017,10,7,6,-47.22756985594059,52,67.49153719063152
2017,10,7,6,-47.227418428282974,53,67.49139603382443
2017,10,7,6,-47.22736219425571,54,67.49157062900674
2017,10,7,7,-47.21693916147136,55,67.47619336127794
2017,10,7,7,-47.217119151698896,56,67.47632864924387
2017,10,7,7,-47.21678144911748,57,67.47596863803399
2017,10,7,7,-47.216545136443216,58,67.47621072356398
2017,10,7,7,-47.205722941540614,59,67.46107125732627
2017,10,7,8,-47.19431259279386,60,67.44181981385032
2017,10,7,8,-47.19365816197182,61,67.44134578360159
2017,10,7,8,-47.18208883383903,62,67.42350110071206
2017,10,7,8,-47.18213486501743,63,67.42356668569995
2017,10,7,8,-47.1823140372723,64,67.4236362081136
2017,10,7,9,-47.16987335699593,65,67.4036950326323
2017,10,7,9,-47.17013059463996,66,67.4036345264505
2017,10,7,9,-47.17047173072727,67,67.40377443570489
2017,10,7,9,-47.156312492787066,68,67.3857965580982
2017,10,7,9,-47.15652561706776,69,67.38551500983009
2017,10,7,9,-47.157034568793506,70,67.38533514498268
2017,10,7,9,-47.15689754108196,71,67.3858118219146
2017,10,7,9,-47.14356309951247,72,67.36727180003969
2017,10,7,9,-47.14343550696286,73,67.36780645084498
2017,10,7,9,-47.14362159798184,74,67.36703233823391
2017,10,7,10,-47.13297020633957,75,67.34898581458764
2017,10,7,10,-47.1326000311226,76,67.3475411906184
2017,10,7,10,-47.13047339868647,77,67.36119263791912
2017,10,7,10,-47.13271624835129,78,67.3478655242111
2017,10,7,10,-47.12251102386597,79,67.32975251564818
2017,10,7,10,-47.122885349906426,80,67.32974374563966
2017,10,7,10,-47.123296833812724,81,67.32763444677305
2017,10,7,10,-47.123035150066606,82,67.32977852040895
2017,10,7,11,-47.11491002928767,83,67.30943745271713
2017,10,7,11,-47.11488666174035,84,67.30940576238072
2017,10,7,11,-47.11471433167846,85,67.30910263610299
2017,10,7,11,-47.114962398794354,86,67.30887226481363
2017,10,7,11,-47.10603273358839,87,67.29004999675895
2017,10,7,11,-47.10627066590913,88,67.28939680909015
